Compound,Space_Group,Crystal_System,cluster_id,Representative_Compound
Rb2AlTlI6_225,225,cubic,143,Rb2InGaI6_225
Rb2BiAuBr6_225,225,cubic,43,CsTlBr3_8
Rb2BiAuF6_225,225,cubic,147,Rb2YHgF6_225
Rb2CeAgBr6_225,225,cubic,43,CsTlBr3_8
Rb2CeAgI6_225,225,cubic,143,Rb2InGaI6_225
Rb2CeCuBr6_225,225,cubic,27,Cs2GaHgBr6_225
Rb2CeCuCl6_225,225,cubic,26,Cs2DyCuCl6_225
Rb2CeCuF6_225,225,cubic,36,Cs2NaNdF6_225
Rb2CoHgF6_225,225,cubic,12,BaCaLaSbO6_216
Rb2CuAuCl6_225,225,cubic,67,K2ErCuCl6_225
Rb2CuBiCl6_225,225,cubic,32,Cs2LiLuCl6_225
Rb2CuBiF6_225,225,cubic,36,Cs2NaNdF6_225
Rb2CuBiI6_225,225,cubic,143,Rb2InGaI6_225
Rb2CuMoCl6_225,225,cubic,85,KCrCl3_161
Rb2CuPdF6_225,225,cubic,14,BaSrNdSbO6_216
